unit_id,ReadmissionRate,do_adherence_program,do_diuretic_titration
148,49.6899384925751,1.0,30.0
149,58.867325739546814,1.0,30.0
150,66.1437030244774,1.0,30.0
151,72.51766669414091,1.0,30.0
152,33.18517018318943,1.0,30.0
153,26.48138362430329,1.0,30.0
154,43.1275881244329,1.0,30.0
155,67.19507103662777,1.0,30.0
156,46.88007176444591,1.0,30.0
157,40.92138298780129,1.0,30.0
158,46.85425859484767,1.0,30.0
159,67.68841712256675,1.0,30.0
160,22.672795389571043,1.0,30.0
161,54.151617888488296,1.0,30.0
162,31.0382149678233,1.0,30.0
163,57.45178326174575,1.0,30.0
164,45.63124454077937,1.0,30.0
165,49.66286751898897,1.0,30.0
166,33.051024470011505,1.0,30.0
167,39.68877899775186,1.0,30.0
168,34.242728470869224,1.0,30.0
169,38.89674052275315,1.0,30.0
170,32.17942070238506,1.0,30.0
171,68.20759972091662,1.0,30.0
172,46.22608341141114,1.0,30.0
173,47.927290722011875,1.0,30.0
174,43.986348225529426,1.0,30.0
175,68.68408298436063,1.0,30.0
176,32.85599209539019,1.0,30.0
177,53.00726546307222,1.0,30.0
178,61.53583961027693,1.0,30.0
179,46.69292488024139,1.0,30.0
180,63.93445717150341,1.0,30.0
181,50.341677965934785,1.0,30.0
182,45.85785112667915,1.0,30.0
183,45.46307621337852,1.0,30.0
184,39.24327865903014,1.0,30.0
185,76.48738851757149,1.0,30.0
186,52.142998847450414,1.0,30.0
187,44.77787250678957,1.0,30.0
188,57.65737319668477,1.0,30.0
189,55.85223086037483,1.0,30.0
190,35.22157440530252,1.0,30.0
191,74.49084076015197,1.0,30.0
192,60.111418339703036,1.0,30.0
193,37.907635257105206,1.0,30.0
194,34.15783319165449,1.0,30.0
195,48.82106381793285,1.0,30.0
196,47.40805478365608,1.0,30.0
197,69.50252078636728,1.0,30.0
198,42.063494121517245,1.0,30.0
199,38.568277901556165,1.0,30.0
200,32.975999032972425,1.0,30.0
201,35.25399772340221,1.0,30.0
202,32.272500189257705,1.0,30.0
203,59.89687377705102,1.0,30.0
204,30.227063601788117,1.0,30.0
205,81.9274610822522,1.0,30.0
206,81.7880076385908,1.0,30.0
207,45.69660922244815,1.0,30.0
208,35.49596506930609,1.0,30.0
209,65.66725567439754,1.0,30.0
210,23.32315683829578,1.0,30.0
211,39.05096467107596,1.0,30.0
212,26.19496554348744,1.0,30.0
213,53.9970914676307,1.0,30.0
214,42.182219552355036,1.0,30.0
215,43.749371734122,1.0,30.0
216,42.40682619301417,1.0,30.0
217,54.35037373153082,1.0,30.0
218,42.68514567308227,1.0,30.0
219,40.23102914226805,1.0,30.0
220,40.1258016393607,1.0,30.0
221,45.351492286644266,1.0,30.0
222,49.300607175146965,1.0,30.0
223,39.523184998084794,1.0,30.0
224,59.67681754201382,1.0,30.0
225,63.196885890614446,1.0,30.0
226,62.38746849236756,1.0,30.0
227,44.0638857204899,1.0,30.0
228,43.12657850794145,1.0,30.0
229,64.40024238558755,1.0,30.0
230,39.43299647788025,1.0,30.0
231,51.18872454067021,1.0,30.0
232,55.55533086317053,1.0,30.0
233,38.97025689502523,1.0,30.0
234,27.239658731500345,1.0,30.0
235,63.934228732980856,1.0,30.0
236,41.25887681467994,1.0,30.0
237,59.45000778276237,1.0,30.0
238,58.25139551149001,1.0,30.0
239,42.46239856662429,1.0,30.0
240,47.99811955210137,1.0,30.0
241,44.9374705993298,1.0,30.0
242,49.69661473880059,1.0,30.0
243,43.61121795441928,1.0,30.0
244,43.300577629097475,1.0,30.0
245,63.047984853949224,1.0,30.0
246,43.717859495374036,1.0,30.0
247,49.64593492795959,1.0,30.0
248,40.752920301696534,1.0,30.0
249,22.995822247023078,1.0,30.0
250,42.652008871912386,1.0,30.0
251,28.85523270005808,1.0,30.0
252,64.94301160290925,1.0,30.0
253,36.339825867408585,1.0,30.0
254,43.03124714129788,1.0,30.0
255,52.82510925921045,1.0,30.0
256,66.29183399829188,1.0,30.0
257,46.002752383586895,1.0,30.0
258,39.069867235535625,1.0,30.0
259,35.03843504919791,1.0,30.0
260,45.41855900788498,1.0,30.0
261,62.1574595482687,1.0,30.0
262,23.92579847238729,1.0,30.0
263,26.302125823981747,1.0,30.0
264,45.222537338472435,1.0,30.0
265,38.22007353158694,1.0,30.0
266,41.87719765447754,1.0,30.0
267,51.773021939724494,1.0,30.0
268,42.88911114461972,1.0,30.0
269,59.273531386764375,1.0,30.0
270,39.72087054479165,1.0,30.0
271,29.12847085467597,1.0,30.0
272,36.503144882676416,1.0,30.0
273,35.999157411367385,1.0,30.0
274,50.99702654011493,1.0,30.0
275,24.37208971706394,1.0,30.0
276,40.133401517008274,1.0,30.0
277,68.0831786117204,1.0,30.0
278,35.93927300711729,1.0,30.0
279,56.80536948203123,1.0,30.0
280,34.98912176222357,1.0,30.0
281,53.96971067604196,1.0,30.0
282,45.88948441558423,1.0,30.0
283,52.33399153618285,1.0,30.0
284,54.30204408139957,1.0,30.0
285,38.05382616783058,1.0,30.0
286,22.145724170081625,1.0,30.0
287,49.73429353816653,1.0,30.0
288,25.702832986167273,1.0,30.0
289,38.33555933480665,1.0,30.0
290,56.75481480802512,1.0,30.0
291,83.08502824514287,1.0,30.0
292,39.83831662165775,1.0,30.0
293,35.575241461421854,1.0,30.0
294,48.17716385789566,1.0,30.0
295,67.02875691357396,1.0,30.0
296,54.03327603684178,1.0,30.0
297,49.392540081773255,1.0,30.0
298,53.321384160510036,1.0,30.0
299,31.366448643559128,1.0,30.0
300,30.224818601458413,1.0,30.0
301,32.08889650505169,1.0,30.0
302,42.63744001913833,1.0,30.0
303,22.664541277897943,1.0,30.0
304,32.4827109665361,1.0,30.0
305,58.020232325098206,1.0,30.0
306,49.7573391479803,1.0,30.0
307,42.16776978791681,1.0,30.0
308,48.73827166400657,1.0,30.0
309,28.042160120431966,1.0,30.0
310,39.464812266237445,1.0,30.0
311,31.762153484001594,1.0,30.0
312,49.7384130754387,1.0,30.0
313,45.078631320107355,1.0,30.0
314,60.171037945095705,1.0,30.0
315,67.96056716974593,1.0,30.0
316,46.63043959534977,1.0,30.0
317,59.752110681435425,1.0,30.0
318,42.39307298366471,1.0,30.0
319,30.553939187304053,1.0,30.0
320,58.35777041541113,1.0,30.0
321,34.85030708578689,1.0,30.0
322,29.796109800416218,1.0,30.0
323,33.038038904493135,1.0,30.0
324,54.382228162415835,1.0,30.0
325,49.22578164310296,1.0,30.0
326,32.64950266727334,1.0,30.0
327,45.028706948511385,1.0,30.0
328,33.70010448796469,1.0,30.0
329,30.487934203577645,1.0,30.0
330,15.33180065343106,1.0,30.0
331,56.89798328987979,1.0,30.0
332,35.962874488236054,1.0,30.0
333,19.40436298515459,1.0,30.0
334,58.10102162069051,1.0,30.0
335,51.106565277371445,1.0,30.0
336,67.74898571844082,1.0,30.0
337,61.504349148391114,1.0,30.0
338,50.791148279085895,1.0,30.0
339,39.45703778180446,1.0,30.0
340,42.80760354554983,1.0,30.0
341,39.62301989174766,1.0,30.0
342,35.960816832819766,1.0,30.0
343,52.53626775854957,1.0,30.0
344,36.071413580915745,1.0,30.0
345,50.483045183210606,1.0,30.0
346,41.370076571463905,1.0,30.0
347,38.13524379924713,1.0,30.0
348,48.98123215784186,1.0,30.0
349,35.57302887066516,1.0,30.0
350,20.359992978174944,1.0,30.0
351,37.14851038482286,1.0,30.0
352,44.168063201930586,1.0,30.0
353,36.46546203347386,1.0,30.0
354,49.037557642413496,1.0,30.0
355,30.321696590082805,1.0,30.0
356,48.30824814175969,1.0,30.0
357,56.20296054618929,1.0,30.0
358,58.05305650819489,1.0,30.0
359,34.1079167161714,1.0,30.0
360,78.78471626118181,1.0,30.0
361,22.51789127185597,1.0,30.0
362,52.31856097833598,1.0,30.0
363,50.16538127529277,1.0,30.0
364,29.4361751656782,1.0,30.0
365,39.69103388315011,1.0,30.0
366,52.60610353819593,1.0,30.0
367,36.43886184765755,1.0,30.0
368,71.60250029048758,1.0,30.0
369,46.055396175217616,1.0,30.0
370,46.4415561950863,1.0,30.0
371,46.37745344034564,1.0,30.0
372,47.209099693560894,1.0,30.0
373,23.479970506280914,1.0,30.0
374,40.67267658750128,1.0,30.0
375,58.54456443790311,1.0,30.0
376,35.0971732644782,1.0,30.0
377,44.39030994409414,1.0,30.0
378,44.226343825178226,1.0,30.0
379,46.177064527283434,1.0,30.0
380,64.20850391676677,1.0,30.0
381,59.67068006665233,1.0,30.0
382,63.46161453453884,1.0,30.0
383,46.67509532733166,1.0,30.0
384,49.48280214699531,1.0,30.0
385,70.35959560048781,1.0,30.0
386,63.567745740384,1.0,30.0
387,29.691121545307688,1.0,30.0
388,64.0011659387206,1.0,30.0
389,39.88831367293241,1.0,30.0
390,24.797253844562626,1.0,30.0
391,55.457209809844265,1.0,30.0
392,60.4086979058685,1.0,30.0
393,45.09508599357854,1.0,30.0
394,31.0574934186301,1.0,30.0
395,44.0358295279046,1.0,30.0
396,48.13201419739015,1.0,30.0
397,37.77082528492411,1.0,30.0
398,20.17989248062363,1.0,30.0
399,20.908984088309914,1.0,30.0
