unit_id,CapacityRetention,do_ElectrolyteAdditive,do_FormationCurrent
81,38.6920255258045,100.0,6.0
82,39.60825402901118,100.0,6.0
83,26.19860115870977,100.0,6.0
84,32.649252537137365,100.0,6.0
85,33.67019801586288,100.0,6.0
86,21.613449226243535,100.0,6.0
87,25.917031490522234,100.0,6.0
88,23.212170793725853,100.0,6.0
89,24.440882582279894,100.0,6.0
90,25.775432067621537,100.0,6.0
91,34.21939509750239,100.0,6.0
92,35.3142004957547,100.0,6.0
93,28.494438209480368,100.0,6.0
94,27.500663099393922,100.0,6.0
95,33.0093753100935,100.0,6.0
96,23.996014975267926,100.0,6.0
97,22.68398554893665,100.0,6.0
98,22.201003906818272,100.0,6.0
99,29.89493174635151,100.0,6.0
100,31.68185921677265,100.0,6.0
101,30.81810220146554,100.0,6.0
102,28.308870333985716,100.0,6.0
103,39.448944849162686,100.0,6.0
104,33.57545245444998,100.0,6.0
105,34.32753277281499,100.0,6.0
106,21.845333468106904,100.0,6.0
107,30.817856483580368,100.0,6.0
108,20.848856586406463,100.0,6.0
109,37.6896365754935,100.0,6.0
110,25.185596685038362,100.0,6.0
111,36.43736812182283,100.0,6.0
112,32.35053187604932,100.0,6.0
113,23.300333083992673,100.0,6.0
114,38.2320386837916,100.0,6.0
115,30.832348928676197,100.0,6.0
116,40.96091919581599,100.0,6.0
117,39.31230161626474,100.0,6.0
118,24.041939247887953,100.0,6.0
119,17.992921520759182,100.0,6.0
120,23.33008482501228,100.0,6.0
121,21.733189759857446,100.0,6.0
122,34.58415971172624,100.0,6.0
123,43.751975061195495,100.0,6.0
124,33.282501976590574,100.0,6.0
125,31.96092994268691,100.0,6.0
126,38.46333950600005,100.0,6.0
127,44.103105702310785,100.0,6.0
128,31.9557437577417,100.0,6.0
129,24.10235092575548,100.0,6.0
130,21.89209116970394,100.0,6.0
131,25.524220746449622,100.0,6.0
132,27.35402923497595,100.0,6.0
133,39.94919014896184,100.0,6.0
134,15.160700026351794,100.0,6.0
135,29.992038820626085,100.0,6.0
136,31.063349182702307,100.0,6.0
137,41.40441914928725,100.0,6.0
138,40.74856828292644,100.0,6.0
139,25.120679896657027,100.0,6.0
140,31.221708550266467,100.0,6.0
141,43.46433071054032,100.0,6.0
142,32.01119332347149,100.0,6.0
143,39.90070154267171,100.0,6.0
144,33.76164781898312,100.0,6.0
145,33.04511838211728,100.0,6.0
146,36.04478202082715,100.0,6.0
147,21.151699236764447,100.0,6.0
148,19.184725832394186,100.0,6.0
149,31.90442182754975,100.0,6.0
150,34.45883753808335,100.0,6.0
151,21.14700902951393,100.0,6.0
152,29.108338981420516,100.0,6.0
153,41.86807025531549,100.0,6.0
154,30.704123819353086,100.0,6.0
155,29.484443423973367,100.0,6.0
156,43.20472450755591,100.0,6.0
157,35.2920697832568,100.0,6.0
158,25.38841516997246,100.0,6.0
159,33.478795016006515,100.0,6.0
160,30.88169711179005,100.0,6.0
161,24.37938350631989,100.0,6.0
162,35.8133667991002,100.0,6.0
163,27.403199161523652,100.0,6.0
164,39.93061011281658,100.0,6.0
165,40.728411001059854,100.0,6.0
166,23.954139353899325,100.0,6.0
167,26.663531753843404,100.0,6.0
168,23.164135149676028,100.0,6.0
169,34.81508023146535,100.0,6.0
170,31.35015566063282,100.0,6.0
171,45.60385794990208,100.0,6.0
172,25.340897887761244,100.0,6.0
173,29.978580311298092,100.0,6.0
174,30.29536923130078,100.0,6.0
175,32.813007986106506,100.0,6.0
176,26.64855421624702,100.0,6.0
177,25.45652446381655,100.0,6.0
178,20.094335840125044,100.0,6.0
179,25.569173642391075,100.0,6.0
180,38.054779325331694,100.0,6.0
181,27.721212836607066,100.0,6.0
182,25.822193352671906,100.0,6.0
183,33.608618591339756,100.0,6.0
184,24.538833075235793,100.0,6.0
185,26.99308030831371,100.0,6.0
186,23.68388827022623,100.0,6.0
187,38.29586762095664,100.0,6.0
188,35.534823098634824,100.0,6.0
189,26.49636966050113,100.0,6.0
190,21.186172053107814,100.0,6.0
191,35.22945396138777,100.0,6.0
192,34.66039101528132,100.0,6.0
193,19.105181872047865,100.0,6.0
194,23.92679144453581,100.0,6.0
195,17.651806510533266,100.0,6.0
196,23.565067828324025,100.0,6.0
197,28.716556062865656,100.0,6.0
198,44.09552044045008,100.0,6.0
199,35.02479739326471,100.0,6.0
200,22.432604423487803,100.0,6.0
201,33.21760111421064,100.0,6.0
202,28.275876545611215,100.0,6.0
203,38.73725968772248,100.0,6.0
204,27.788263153635565,100.0,6.0
205,36.95322935447467,100.0,6.0
206,27.55620722859298,100.0,6.0
207,18.149600379719907,100.0,6.0
208,35.258152626356136,100.0,6.0
209,18.5599604762825,100.0,6.0
210,23.132349148996088,100.0,6.0
211,35.36372484255421,100.0,6.0
212,29.22599639107159,100.0,6.0
213,9.636175458770913,100.0,6.0
214,22.456267985826408,100.0,6.0
215,45.09719994250844,100.0,6.0
216,40.780614469774044,100.0,6.0
217,20.46666062796647,100.0,6.0
218,28.23507753623068,100.0,6.0
219,32.78593091231263,100.0,6.0
220,36.608152095673965,100.0,6.0
221,22.00109803089426,100.0,6.0
222,31.681911935628985,100.0,6.0
223,37.69760995721552,100.0,6.0
224,32.40339095742273,100.0,6.0
225,35.763056679591365,100.0,6.0
226,31.26207194381093,100.0,6.0
227,24.60969672462045,100.0,6.0
228,30.736823345578514,100.0,6.0
229,36.011853877442796,100.0,6.0
230,44.89420799034433,100.0,6.0
231,29.40069617448611,100.0,6.0
232,37.9464394281802,100.0,6.0
233,28.183987322767173,100.0,6.0
234,28.798202115568042,100.0,6.0
235,32.5758028955822,100.0,6.0
236,36.592752972808405,100.0,6.0
237,47.40791589918714,100.0,6.0
238,31.6144924374743,100.0,6.0
239,32.743910288528205,100.0,6.0
240,25.362252625606853,100.0,6.0
241,36.359429109674956,100.0,6.0
242,34.832137064655925,100.0,6.0
243,41.05808430601567,100.0,6.0
244,34.42986169034572,100.0,6.0
245,25.767220718429314,100.0,6.0
246,34.74185077535731,100.0,6.0
247,30.277729948599024,100.0,6.0
248,23.45491174850234,100.0,6.0
249,25.764505891472925,100.0,6.0
250,37.671693379755176,100.0,6.0
251,30.771106283967384,100.0,6.0
252,41.65095546003398,100.0,6.0
253,28.204283367916723,100.0,6.0
254,32.88916420282435,100.0,6.0
255,30.06444685775991,100.0,6.0
256,19.302076181298855,100.0,6.0
257,15.875922081936908,100.0,6.0
258,31.99848762883658,100.0,6.0
259,39.67187641734965,100.0,6.0
260,36.396455032082685,100.0,6.0
261,32.52855107339744,100.0,6.0
262,42.0857783023815,100.0,6.0
263,13.477565449889136,100.0,6.0
264,14.325774747476935,100.0,6.0
265,23.282669128596012,100.0,6.0
266,25.70998165236247,100.0,6.0
267,34.31432969047115,100.0,6.0
268,36.305833963871535,100.0,6.0
269,41.580437577129366,100.0,6.0
270,35.14335847633982,100.0,6.0
271,18.65277786279855,100.0,6.0
272,30.95360226995211,100.0,6.0
273,29.840352821257333,100.0,6.0
274,38.574858423506605,100.0,6.0
275,33.23642085363158,100.0,6.0
276,21.77179938716292,100.0,6.0
277,23.62966759606013,100.0,6.0
278,24.17788662335851,100.0,6.0
279,15.573603887220639,100.0,6.0
280,34.39113033739137,100.0,6.0
281,37.454179251206895,100.0,6.0
282,40.70082016935903,100.0,6.0
283,49.33565548731848,100.0,6.0
284,29.68334246692023,100.0,6.0
285,34.89469898763995,100.0,6.0
286,30.250672141971474,100.0,6.0
287,38.24163110023709,100.0,6.0
288,31.618932745906445,100.0,6.0
289,39.48731850048362,100.0,6.0
290,32.609999126552154,100.0,6.0
291,16.771752697035605,100.0,6.0
292,43.60047883362457,100.0,6.0
293,33.47813386158012,100.0,6.0
294,20.48435492017267,100.0,6.0
295,31.202433215037114,100.0,6.0
296,23.910498670490124,100.0,6.0
297,33.704464699558315,100.0,6.0
298,31.083322212466523,100.0,6.0
299,20.081070011224792,100.0,6.0
300,37.95884809525068,100.0,6.0
301,33.23165147905509,100.0,6.0
302,22.03459565903906,100.0,6.0
303,45.206378883199385,100.0,6.0
304,29.421746014731777,100.0,6.0
305,26.450115268259204,100.0,6.0
306,23.608028188601363,100.0,6.0
307,37.0817699979811,100.0,6.0
308,38.057221695935596,100.0,6.0
309,12.491959955460583,100.0,6.0
310,29.48345390450297,100.0,6.0
311,24.508309862628447,100.0,6.0
312,24.32109035401273,100.0,6.0
313,22.450766932030433,100.0,6.0
314,27.797214824688023,100.0,6.0
315,13.302575424783143,100.0,6.0
316,26.390305041331686,100.0,6.0
317,20.6554069954922,100.0,6.0
318,33.098186572930146,100.0,6.0
319,28.129545793673962,100.0,6.0
320,39.05985717068103,100.0,6.0
321,26.492335205576477,100.0,6.0
322,45.12819154456206,100.0,6.0
323,38.00206960351784,100.0,6.0
324,29.45485108171867,100.0,6.0
325,20.632671796251355,100.0,6.0
326,28.408794086475893,100.0,6.0
327,25.77215618472929,100.0,6.0
328,45.607842645886805,100.0,6.0
329,27.493117654345674,100.0,6.0
330,31.630205446245906,100.0,6.0
331,34.97186330602599,100.0,6.0
332,20.329637656725026,100.0,6.0
333,36.41394694813368,100.0,6.0
334,35.31550536556456,100.0,6.0
335,33.14239336116504,100.0,6.0
336,32.030724953872095,100.0,6.0
337,36.04390803537511,100.0,6.0
338,32.30856971247586,100.0,6.0
339,43.239170896902195,100.0,6.0
340,43.132403368768735,100.0,6.0
341,30.709820593878792,100.0,6.0
342,21.887535175637478,100.0,6.0
343,16.737819289291505,100.0,6.0
344,28.664863992772304,100.0,6.0
345,24.690765120185333,100.0,6.0
346,29.182464014120914,100.0,6.0
347,16.60440878042302,100.0,6.0
348,23.350059001598588,100.0,6.0
349,23.395106460210172,100.0,6.0
350,34.604432221611376,100.0,6.0
351,28.425106848517284,100.0,6.0
352,29.36850651491917,100.0,6.0
353,23.72866117867203,100.0,6.0
354,33.99349751150297,100.0,6.0
355,39.18191034334293,100.0,6.0
356,33.91183587202677,100.0,6.0
357,29.26500343170837,100.0,6.0
358,34.39819565431264,100.0,6.0
359,21.816151550333245,100.0,6.0
360,31.409171481069396,100.0,6.0
361,32.6000719276401,100.0,6.0
362,26.46521281201005,100.0,6.0
363,41.11793338477021,100.0,6.0
364,33.144802571887325,100.0,6.0
365,36.21683246919477,100.0,6.0
366,44.861608094445074,100.0,6.0
367,48.57596401131441,100.0,6.0
368,43.522598021625576,100.0,6.0
369,29.001443355380854,100.0,6.0
370,28.40025475027133,100.0,6.0
371,27.877964048903568,100.0,6.0
372,17.71120334734558,100.0,6.0
373,21.245613264857756,100.0,6.0
374,26.986330289985077,100.0,6.0
375,31.068527014053302,100.0,6.0
376,28.13524395227353,100.0,6.0
377,36.701231333396414,100.0,6.0
378,49.943892721890215,100.0,6.0
379,17.871872779666617,100.0,6.0
380,22.026284620308502,100.0,6.0
381,19.985891842531178,100.0,6.0
382,21.30851369721811,100.0,6.0
383,33.51184003088048,100.0,6.0
384,29.451985549154113,100.0,6.0
385,33.14819211731161,100.0,6.0
386,26.764439270209476,100.0,6.0
387,36.35316783860441,100.0,6.0
388,33.96605152942282,100.0,6.0
389,25.3438754788688,100.0,6.0
390,22.34298765376016,100.0,6.0
391,38.05745809688706,100.0,6.0
392,31.15583804300768,100.0,6.0
393,31.713447811378426,100.0,6.0
394,33.37262926639016,100.0,6.0
395,34.72211403554561,100.0,6.0
396,23.160281002922858,100.0,6.0
397,26.942771612279916,100.0,6.0
398,27.3155811833186,100.0,6.0
399,32.77251840785051,100.0,6.0
