unit_id,CapacityRetention,do_DryRoomControl,do_ChargeRate
87,17.438433218829044,75.0,40.0
88,17.659876642128914,75.0,40.0
89,19.217485184716868,75.0,40.0
90,17.47758296308941,75.0,40.0
91,11.27380986455945,75.0,40.0
92,17.86737987385783,75.0,40.0
93,8.014007716076412,75.0,40.0
94,18.001833731646258,75.0,40.0
95,17.17855326139198,75.0,40.0
96,21.67188997216042,75.0,40.0
97,15.40975384977625,75.0,40.0
98,17.946439957823845,75.0,40.0
99,17.884690347919953,75.0,40.0
100,15.43624281711774,75.0,40.0
101,17.117413581332883,75.0,40.0
102,17.595217255271898,75.0,40.0
103,14.228923665474342,75.0,40.0
104,17.26998394403966,75.0,40.0
105,21.275287559881125,75.0,40.0
106,18.679534792372166,75.0,40.0
107,17.194689109211822,75.0,40.0
108,23.803215519607523,75.0,40.0
109,18.176097056906734,75.0,40.0
110,12.503139701357393,75.0,40.0
111,25.21894235249244,75.0,40.0
112,19.66965531180922,75.0,40.0
113,20.511154297926932,75.0,40.0
114,22.075458277162156,75.0,40.0
115,27.321996887842815,75.0,40.0
116,12.249253261529605,75.0,40.0
117,18.362312247024747,75.0,40.0
118,16.233223377779268,75.0,40.0
119,15.738287687951923,75.0,40.0
120,21.094055157144783,75.0,40.0
121,11.373074596405127,75.0,40.0
122,15.984545662156373,75.0,40.0
123,15.430970738234299,75.0,40.0
124,10.489795399236106,75.0,40.0
125,17.601086201303247,75.0,40.0
126,10.152785156311047,75.0,40.0
127,18.46653724461033,75.0,40.0
128,16.661037877632523,75.0,40.0
129,24.977091514632285,75.0,40.0
130,21.64706761901492,75.0,40.0
131,14.568812489567074,75.0,40.0
132,18.6230690960447,75.0,40.0
133,15.34513535352308,75.0,40.0
134,17.606279346214283,75.0,40.0
135,19.927313686664093,75.0,40.0
136,17.251880151175925,75.0,40.0
137,21.95912491421941,75.0,40.0
138,13.647146631658341,75.0,40.0
139,19.448389509395717,75.0,40.0
140,17.491110988858086,75.0,40.0
141,16.744303772810483,75.0,40.0
142,23.706372244237862,75.0,40.0
143,8.786546210770794,75.0,40.0
144,14.352431177593076,75.0,40.0
145,20.097236876632117,75.0,40.0
146,20.575041645833146,75.0,40.0
147,22.502798252414657,75.0,40.0
148,14.766647639602892,75.0,40.0
149,21.611479080709742,75.0,40.0
150,10.659297632084668,75.0,40.0
151,19.168934250387313,75.0,40.0
152,18.346991352829114,75.0,40.0
153,19.47616088080856,75.0,40.0
154,25.199195478045606,75.0,40.0
155,23.857757174347487,75.0,40.0
156,13.03670317439594,75.0,40.0
157,20.73079608522063,75.0,40.0
158,20.488899873069403,75.0,40.0
159,23.656983042583366,75.0,40.0
160,21.234421355862626,75.0,40.0
161,12.42097004122795,75.0,40.0
162,17.110870211620053,75.0,40.0
163,14.229640146018625,75.0,40.0
164,23.126186128916082,75.0,40.0
165,16.911088743473613,75.0,40.0
166,11.846529334506371,75.0,40.0
167,16.35084103308541,75.0,40.0
168,14.936553256904615,75.0,40.0
169,17.346587002313605,75.0,40.0
170,17.03680014766588,75.0,40.0
171,21.812509342569026,75.0,40.0
172,19.783021180904548,75.0,40.0
173,16.511844623146715,75.0,40.0
174,21.06646993049403,75.0,40.0
175,17.97634809602535,75.0,40.0
176,18.538949478410068,75.0,40.0
177,11.950043265996321,75.0,40.0
178,19.10881816370275,75.0,40.0
179,14.673588755749979,75.0,40.0
180,24.881949446890655,75.0,40.0
181,19.467221721659765,75.0,40.0
182,25.377191129777003,75.0,40.0
183,12.123866327060957,75.0,40.0
184,19.614283897794316,75.0,40.0
185,15.775811222868104,75.0,40.0
186,26.590236771471673,75.0,40.0
187,12.893359370072998,75.0,40.0
188,13.160140063023427,75.0,40.0
189,24.464995229271604,75.0,40.0
190,21.165300401289873,75.0,40.0
191,23.064586844835414,75.0,40.0
192,17.806895519948355,75.0,40.0
193,17.831726263735185,75.0,40.0
194,14.790412720418868,75.0,40.0
195,16.186443762248402,75.0,40.0
196,12.489430028806812,75.0,40.0
197,12.880459594524075,75.0,40.0
198,20.82820240395204,75.0,40.0
199,17.776698097707882,75.0,40.0
200,7.402939082614095,75.0,40.0
201,19.249228047065415,75.0,40.0
202,13.802605882147658,75.0,40.0
203,18.456286573017504,75.0,40.0
204,19.391541446536923,75.0,40.0
205,16.60785153265494,75.0,40.0
206,13.860647173254165,75.0,40.0
207,17.858348153536152,75.0,40.0
208,10.149242370568215,75.0,40.0
209,16.047209289772365,75.0,40.0
210,10.867930514739816,75.0,40.0
211,20.48818777910922,75.0,40.0
212,21.299938296821658,75.0,40.0
213,15.743164892339541,75.0,40.0
214,12.748895814553961,75.0,40.0
215,16.040585330083275,75.0,40.0
216,9.686579546953748,75.0,40.0
217,15.894569904441857,75.0,40.0
218,13.724402587619524,75.0,40.0
219,14.570209501693414,75.0,40.0
220,23.141233482384195,75.0,40.0
221,23.092687741012135,75.0,40.0
222,19.608716542800344,75.0,40.0
223,11.436605528515154,75.0,40.0
224,15.397393763467552,75.0,40.0
225,21.447410560175854,75.0,40.0
226,15.678593330517788,75.0,40.0
227,18.233200335508926,75.0,40.0
228,16.304793540183624,75.0,40.0
229,17.207114343770897,75.0,40.0
230,17.943540843437894,75.0,40.0
231,17.311216137326248,75.0,40.0
232,19.899050384732345,75.0,40.0
233,12.287102997690164,75.0,40.0
234,24.325500693764806,75.0,40.0
235,19.632522817607043,75.0,40.0
236,21.355187579730245,75.0,40.0
237,17.83667692039476,75.0,40.0
238,17.323436978553573,75.0,40.0
239,12.54602720208022,75.0,40.0
240,17.588302631555955,75.0,40.0
241,18.619681165692285,75.0,40.0
242,17.34748616520893,75.0,40.0
243,17.68864041724795,75.0,40.0
244,12.715491956693011,75.0,40.0
245,17.64366804812072,75.0,40.0
246,20.36450958788731,75.0,40.0
247,13.69343273650342,75.0,40.0
248,20.279392413671655,75.0,40.0
249,7.793138510101319,75.0,40.0
250,26.784241640065844,75.0,40.0
251,12.330918747877256,75.0,40.0
252,11.491990167163909,75.0,40.0
253,27.159670363127074,75.0,40.0
254,18.63111083823012,75.0,40.0
255,14.791261942191241,75.0,40.0
256,20.149812102899435,75.0,40.0
257,10.850196615438172,75.0,40.0
258,8.862790887079266,75.0,40.0
259,22.290647573705336,75.0,40.0
260,14.41249616598584,75.0,40.0
261,20.274757999830793,75.0,40.0
262,15.199251338276254,75.0,40.0
263,24.064485124918598,75.0,40.0
264,20.48433703732632,75.0,40.0
265,16.93999814469791,75.0,40.0
266,16.18730835321078,75.0,40.0
267,16.136311833054254,75.0,40.0
268,19.099482282892367,75.0,40.0
269,17.903538578298544,75.0,40.0
270,21.570824108461597,75.0,40.0
271,23.242664457945736,75.0,40.0
272,17.24143605648955,75.0,40.0
273,17.477389584394068,75.0,40.0
274,25.570182149680164,75.0,40.0
275,10.236053065028067,75.0,40.0
276,14.753413495431914,75.0,40.0
277,26.220010279502045,75.0,40.0
278,21.968181742598787,75.0,40.0
279,13.613427213236168,75.0,40.0
280,21.26562330811518,75.0,40.0
281,18.742405308908417,75.0,40.0
282,16.034260025220593,75.0,40.0
283,24.20782779417333,75.0,40.0
284,13.945491520532778,75.0,40.0
285,17.886942209775782,75.0,40.0
286,24.78282940365218,75.0,40.0
287,19.841686628598612,75.0,40.0
288,26.230542401591045,75.0,40.0
289,18.72621762227697,75.0,40.0
290,22.746852427306248,75.0,40.0
291,5.697875147409308,75.0,40.0
292,18.62706460936726,75.0,40.0
293,17.03524940462166,75.0,40.0
294,7.699512091210369,75.0,40.0
295,22.603268030650785,75.0,40.0
296,11.852656772062357,75.0,40.0
297,16.45317797967418,75.0,40.0
298,17.869597110410222,75.0,40.0
299,28.39726305341842,75.0,40.0
300,21.50709757683772,75.0,40.0
301,11.180761871530372,75.0,40.0
302,16.532011497173414,75.0,40.0
303,21.146662388775354,75.0,40.0
304,16.565026876094297,75.0,40.0
305,15.818891496033515,75.0,40.0
306,10.116627272909009,75.0,40.0
307,22.535876243658564,75.0,40.0
308,19.325517024947718,75.0,40.0
309,15.694606636161815,75.0,40.0
310,17.246429692962316,75.0,40.0
311,18.053572878496823,75.0,40.0
312,21.92587536675425,75.0,40.0
313,20.00782023207141,75.0,40.0
314,18.114034924286237,75.0,40.0
315,15.956658300617365,75.0,40.0
316,15.329800817575512,75.0,40.0
317,20.132160615970903,75.0,40.0
318,13.603122769266008,75.0,40.0
319,10.531701503001758,75.0,40.0
320,16.740235217989397,75.0,40.0
321,24.187348854714283,75.0,40.0
322,18.50995796766374,75.0,40.0
323,13.81619831793536,75.0,40.0
324,18.65260260117224,75.0,40.0
325,19.36055913899161,75.0,40.0
326,11.214424427657159,75.0,40.0
327,10.880913629271571,75.0,40.0
328,23.373167250527253,75.0,40.0
329,13.774891708227273,75.0,40.0
330,24.345737778963464,75.0,40.0
331,22.654474995177573,75.0,40.0
332,15.037246608445972,75.0,40.0
333,21.77833871636505,75.0,40.0
334,19.629328369799197,75.0,40.0
335,19.043911265955586,75.0,40.0
336,18.6990338552954,75.0,40.0
337,20.976342546794157,75.0,40.0
338,22.08384730107529,75.0,40.0
339,11.834785807983852,75.0,40.0
340,17.79431485127471,75.0,40.0
341,12.983953595472668,75.0,40.0
342,19.485752094179034,75.0,40.0
343,20.68002527471226,75.0,40.0
344,22.777290002822895,75.0,40.0
345,21.656630638036994,75.0,40.0
346,20.987922373420577,75.0,40.0
347,13.255176102227082,75.0,40.0
348,13.43079644615451,75.0,40.0
349,4.744336419908924,75.0,40.0
350,20.48020443036579,75.0,40.0
351,15.545655456915998,75.0,40.0
352,20.589351999908665,75.0,40.0
353,18.89163007837338,75.0,40.0
354,14.213350478469778,75.0,40.0
355,18.829447494238853,75.0,40.0
356,24.70583369606368,75.0,40.0
357,25.051977177837383,75.0,40.0
358,16.960755444363784,75.0,40.0
359,17.776667318601863,75.0,40.0
360,13.556698153089837,75.0,40.0
361,12.7198663221548,75.0,40.0
362,28.6301445658164,75.0,40.0
363,9.848801862884196,75.0,40.0
364,15.708655929424873,75.0,40.0
365,12.307336272159937,75.0,40.0
366,7.201919778415441,75.0,40.0
367,18.755003741058662,75.0,40.0
368,14.794363489793167,75.0,40.0
369,23.774060249304018,75.0,40.0
370,12.20500059279024,75.0,40.0
371,20.866101987195137,75.0,40.0
372,23.58721923037557,75.0,40.0
373,16.702988141630726,75.0,40.0
374,16.64912599103686,75.0,40.0
375,14.68341857486345,75.0,40.0
376,11.407735237509826,75.0,40.0
377,21.12953273265793,75.0,40.0
378,18.962075037751834,75.0,40.0
379,19.412152741023903,75.0,40.0
380,21.2903180467983,75.0,40.0
381,19.872484678741564,75.0,40.0
382,13.684142405481996,75.0,40.0
383,13.771066763146019,75.0,40.0
384,14.390117487236655,75.0,40.0
385,22.686094943795133,75.0,40.0
386,23.51943294823737,75.0,40.0
387,16.357249997205173,75.0,40.0
388,14.085253876098879,75.0,40.0
389,26.653248673502947,75.0,40.0
390,16.228605487458854,75.0,40.0
391,24.378720350827187,75.0,40.0
392,15.275843492717266,75.0,40.0
393,22.56834718679997,75.0,40.0
394,14.946724233913539,75.0,40.0
395,18.689851500071853,75.0,40.0
396,5.890827704827478,75.0,40.0
397,24.268246902093516,75.0,40.0
398,12.915387085354817,75.0,40.0
399,15.050247198896024,75.0,40.0
