key,namespace,source,steps_available,complete,log_precision_dp,note
environment/completed,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/forced_no_answer,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/interventions,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/invalid_id_fraction,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/parse_failures,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/part_a,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/part_b,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/queries_used,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/reward_error,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/score,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/truncated,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
environment/turns,environment,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/avg_assistant_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/avg_num_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/avg_tokens_non_zero_rewards,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/avg_tokens_zero_rewards,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/batch_num_seq,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/batch_padded_seq_len,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/max_assistant_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/max_num_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/min_assistant_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/min_num_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/std_assistant_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/std_num_tokens,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/tokens_per_turn_max,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/tokens_per_turn_mean,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/tokens_per_turn_std,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_completion_max,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_completion_mean,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_completion_p90,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_env_max,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_env_mean,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_env_p90,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_llm_max,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_llm_mean,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_llm_p90,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_other_max,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_other_mean,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
generate/trajectory_time_other_p90,generate,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
loss/avg_final_rewards,loss,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
loss/avg_raw_advantages,loss,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
loss/avg_raw_advantages_abs,loss,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
policy/rollout_train_logprobs_abs_diff_max,policy,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
policy/rollout_train_logprobs_abs_diff_mean,policy,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
policy/rollout_train_logprobs_abs_diff_min,policy,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
policy/rollout_train_logprobs_abs_diff_std,policy,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
reward/group_reward_var_between,reward,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
reward/group_reward_var_max,reward,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
reward/group_reward_var_min,reward,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
reward/group_size_max,reward,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
reward/group_size_min,reward,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
timing/eval_generate,timing,wandb_txlog,8,False,full,
trainer/epoch,trainer,wandb_txlog,7 8,False,full,
trainer/global_step,trainer,wandb_txlog,7 8,False,full,
trainer/tokens_per_second_per_gpu,trainer,wandb_txlog,7 8,False,full,W&B rejected steps 0-6 (non-monotonic after 8 crashed launches); no other copy on disk
eval/all/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/accepted,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/collider_selection/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/competing_causes/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_chain/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/confounded_reversal/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/dose_window/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/hidden_subtype/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/instrument_only/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/surrogate_trap/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/episodes,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/archetype/synergy_pair/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/completed,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/forced_no_answer,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/interventions,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/invalid_id_fraction,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/parse_failures,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/part_a,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/part_b,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/queries_used,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/reward_error,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/score,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/truncated,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/environment/turns,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/avg_assistant_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/avg_num_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/avg_tokens_non_zero_rewards,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/avg_tokens_zero_rewards,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/max_assistant_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/max_num_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/min_assistant_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/min_num_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/std_assistant_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/std_num_tokens,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/tokens_per_turn_max,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/tokens_per_turn_mean,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/tokens_per_turn_std,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_completion_max,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_completion_mean,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_completion_p90,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_env_max,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_env_mean,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_env_p90,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_llm_max,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_llm_mean,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_llm_p90,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_other_max,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_other_mean,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/generate/trajectory_time_other_p90,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/all/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_collider_selection/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_collider_selection/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_collider_selection/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_competing_causes/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_competing_causes/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_competing_causes/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_chain/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_chain/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_chain/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_reversal/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_reversal/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_confounded_reversal/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_dose_window/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_dose_window/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_dose_window/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_hidden_subtype/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_hidden_subtype/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_hidden_subtype/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_instrument_only/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_instrument_only/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_instrument_only/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_surrogate_trap/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_surrogate_trap/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_surrogate_trap/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_synergy_pair/avg_score,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_synergy_pair/mean_positive_reward,eval,eval_dump,0 2 4 6 8,True,full,
eval/rpg_v9_eval_synergy_pair/pass_at_2,eval,eval_dump,0 2 4 6 8,True,full,
