key,value
trainer.policy.megatron_config.transformer_config_kwargs.recompute_num_layers,1
trainer.policy.model.fake_int4_qat.bf16_base_path,
trainer.policy.model.fake_int4_qat.enabled,False
trainer.policy.model.fake_int4_qat.group_size,32
trainer.policy.model.fake_int4_qat.q_min,-8.0
trainer.policy.model.fake_int4_qat.scale_divisor,7.5
trainer.policy.model.fake_int4_qat.symmetric,True
trainer.policy.model.lora.alpha,32
trainer.policy.model.lora.dropout,0.0
trainer.policy.model.lora.exclude_modules,
trainer.policy.model.lora.init_method,kaiming
trainer.policy.model.lora.lora_sync_path,/work/data/rpg_rl_exps/single_arch_rl/sarl_v1/runs/easy/lora_sync
trainer.policy.model.lora.max_cpu_loras,
trainer.policy.model.lora.max_loras,1
trainer.policy.model.lora.rank,16
trainer.policy.model.lora.target_modules,all-linear
trainer.policy.model.path,Qwen/Qwen3.5-9B
trainer.policy.optimizer_config.adam_betas,"[0.9, 0.999]"
trainer.policy.optimizer_config.lr,1e-05
trainer.policy.optimizer_config.max_grad_norm,1.0
trainer.policy.optimizer_config.num_warmup_steps,2
trainer.policy.optimizer_config.offload_after_step,True
trainer.policy.optimizer_config.scheduler,constant_with_warmup
trainer.policy.optimizer_config.weight_decay,0.01
trainer.policy.record_memory,False
trainer.policy.sequence_parallel_size,1
trainer.policy.torch_profiler_config.active,1
trainer.policy.torch_profiler_config.activities,"[""cpu"", ""cuda""]"
trainer.policy.torch_profiler_config.enable,False
trainer.policy.torch_profiler_config.export_type,chrome_trace
trainer.policy.torch_profiler_config.profile_memory,False
trainer.policy.torch_profiler_config.ranks,[0]
trainer.policy.torch_profiler_config.record_shapes,True
trainer.policy.torch_profiler_config.repeat,1
trainer.policy.torch_profiler_config.save_path,
trainer.policy.torch_profiler_config.skip_first,10
trainer.policy.torch_profiler_config.wait,0
trainer.policy.torch_profiler_config.warmup,1
trainer.policy.torch_profiler_config.with_flops,False
trainer.policy.torch_profiler_config.with_modules,False
trainer.policy.torch_profiler_config.with_stack,True
trainer.policy.use_torch_compile,False
trainer.policy_mini_batch_size,32
trainer.print_example_interval,1
trainer.project_name,rpg_single_arch
trainer.recompute_old_logprobs_per_minibatch,True
trainer.ref.fsdp_config.cpu_offload,False
trainer.ref.fsdp_config.fsdp_size,-1
trainer.ref.fsdp_config.mixed_precision,
trainer.ref.fsdp_config.reshard_after_forward,True
trainer.ref.language_model_only,False
trainer.ref.megatron_config.async_dist_ckpt_save,False
trainer.ref.megatron_config.async_dist_ckpt_strategy,mcore
trainer.ref.megatron_config.async_save_prestage_to_cpu,False
trainer.ref.megatron_config.context_parallel_size,1
trainer.ref.megatron_config.ddp_config.average_in_collective,True
trainer.ref.megatron_config.ddp_config.grad_reduce_in_fp32,True
trainer.ref.megatron_config.ddp_config.overlap_grad_reduce,False
trainer.ref.megatron_config.ddp_config.overlap_param_gather,False
trainer.ref.megatron_config.dist_ckpt_optim_fully_reshardable,False
trainer.ref.megatron_config.empty_cuda_cache,True
trainer.ref.megatron_config.expert_model_parallel_size,1
trainer.ref.megatron_config.expert_tensor_parallel_size,
trainer.ref.megatron_config.freeze_moe_router,False
trainer.ref.megatron_config.hf_export_config.distributed_save,False
trainer.ref.megatron_config.hf_export_config.save_every_n_ranks,1
trainer.ref.megatron_config.lora_config.lora_type,lora
trainer.ref.megatron_config.lora_config.merge_lora,True
trainer.ref.megatron_config.moe_aux_loss_coeff,0.0
trainer.ref.megatron_config.moe_enable_routing_replay,False
trainer.ref.megatron_config.moe_grouped_gemm,True
trainer.ref.megatron_config.moe_per_layer_logging,False
trainer.ref.megatron_config.moe_router_dtype,fp32
trainer.ref.megatron_config.moe_router_enable_expert_bias,
trainer.ref.megatron_config.moe_router_load_balancing_type,none
trainer.ref.megatron_config.moe_router_score_function,
trainer.ref.megatron_config.moe_token_dispatcher_type,alltoall
trainer.ref.megatron_config.mtp_loss_chunk_size,1024
trainer.ref.megatron_config.mtp_loss_topk,
trainer.ref.megatron_config.mtp_loss_weight,0.1
trainer.ref.megatron_config.mtp_num_layers,
trainer.ref.megatron_config.optimizer_config_kwargs.optimizer_cpu_offload,False
trainer.ref.megatron_config.optimizer_config_kwargs.optimizer_offload_fraction,0.0
trainer.ref.megatron_config.optimizer_config_kwargs.overlap_cpu_optimizer_d2h_h2d,False
trainer.ref.megatron_config.optimizer_config_kwargs.use_precision_aware_optimizer,False
trainer.ref.megatron_config.pipeline_model_parallel_size,1
trainer.ref.megatron_config.tensor_model_parallel_size,1
trainer.ref.megatron_config.transformer_config_kwargs.gradient_accumulation_fusion,False
trainer.ref.megatron_config.transformer_config_kwargs.recompute_granularity,full
trainer.ref.megatron_config.transformer_config_kwargs.recompute_method,uniform
trainer.ref.megatron_config.transformer_config_kwargs.recompute_modules,"[""core_attn""]"
trainer.ref.megatron_config.transformer_config_kwargs.recompute_num_layers,1
trainer.ref.model.fake_int4_qat.bf16_base_path,
trainer.ref.model.fake_int4_qat.enabled,False
trainer.ref.model.fake_int4_qat.group_size,32
trainer.ref.model.fake_int4_qat.q_min,-8.0
trainer.ref.model.fake_int4_qat.scale_divisor,7.5
trainer.ref.model.fake_int4_qat.symmetric,True
trainer.ref.model.lora.alpha,16
trainer.ref.model.lora.dropout,0.0
trainer.ref.model.lora.exclude_modules,
trainer.ref.model.lora.init_method,kaiming
trainer.ref.model.lora.lora_sync_path,/tmp/skyrl_lora_sync
trainer.ref.model.lora.max_cpu_loras,
trainer.ref.model.lora.max_loras,1
trainer.ref.model.lora.rank,0
trainer.ref.model.lora.target_modules,all-linear
trainer.ref.model.path,Qwen/Qwen3.5-9B
trainer.ref.sequence_parallel_size,1
trainer.remove_microbatch_padding,False
trainer.resume_mode,latest
trainer.resume_path,
trainer.run_name,sarl_v1_easy_dose_window
trainer.seed,42
trainer.sequence_parallel_backend,ulysses
trainer.strategy,fsdp
trainer.tags,
trainer.train_batch_size,32
trainer.update_epochs_per_batch,1
trainer.update_ref_every_epoch,False
trainer.use_expandable_segments,True
trainer.vocab_entropy_chunk_memory_mb,512
trainer.vocab_entropy_chunk_size,0
